Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),CORE:Zone Air Temperature [C](Hourly),CORE:Zone Air Relative Humidity [%](Hourly),EAST PERIMETER:Zone Air Temperature [C](Hourly),EAST PERIMETER:Zone Air Relative Humidity [%](Hourly),NORTH PERIMETER:Zone Air Temperature [C](Hourly),NORTH PERIMETER:Zone Air Relative Humidity [%](Hourly),PLENUM:Zone Air Temperature [C](Hourly),PLENUM:Zone Air Relative Humidity [%](Hourly),SOUTH PERIMETER:Zone Air Temperature [C](Hourly),SOUTH PERIMETER:Zone Air Relative Humidity [%](Hourly),WEST PERIMETER:Zone Air Temperature [C](Hourly),WEST PERIMETER:Zone Air Relative Humidity [%](Hourly),LOZARADIANTE_ZONAEAST:Zone Radiant HVAC Heating Rate [W](Hourly),LOZARADIANTE_ZONAEAST:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),LOZARADIANTE_ZONAEAST:Zone Radiant HVAC Inlet Temperature [C](Hourly),LOZARADIANTE_ZONAEAST:Zone Radiant HVAC Outlet Temperature [C](Hourly),LOZARADIANTE_ZONANORTH:Zone Radiant HVAC Heating Rate [W](Hourly),LOZARADIANTE_ZONANORTH:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),LOZARADIANTE_ZONANORTH:Zone Radiant HVAC Inlet Temperature [C](Hourly),LOZARADIANTE_ZONANORTH:Zone Radiant HVAC Outlet Temperature [C](Hourly),LOZARADIANTE_ZONASOUTH:Zone Radiant HVAC Heating Rate [W](Hourly),LOZARADIANTE_ZONASOUTH:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),LOZARADIANTE_ZONASOUTH:Zone Radiant HVAC Inlet Temperature [C](Hourly),LOZARADIANTE_ZONASOUTH:Zone Radiant HVAC Outlet Temperature [C](Hourly),LOZARADIANTE_ZONAWEST:Zone Radiant HVAC Heating Rate [W](Hourly),LOZARADIANTE_ZONAWEST:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),LOZARADIANTE_ZONAWEST:Zone Radiant HVAC Inlet Temperature [C](Hourly),LOZARADIANTE_ZONAWEST:Zone Radiant HVAC Outlet Temperature [C](Hourly),BOMBACALOR_HP:Heat Pump Electricity Rate [W](Hourly),NODO_SALIDA_AIRE_HP:System Node Temperature [C](Hourly),NODO_SUPPLY_INLET:System Node Temperature [C](Hourly),NODO_SALIDA_BOMBA:System Node Temperature [C](Hourly),NODO_ENTRADA_CONDENSADOR:System Node Temperature [C](Hourly),NODO_SALIDA_CONDENSADOR:System Node Temperature [C](Hourly),NODO_SUPPLY_OUTLET:System Node Temperature [C](Hourly),NODO_DEMAND_INLET:System Node Temperature [C](Hourly),NODO_DEMAND_OUTLET:System Node Temperature [C](Hourly),NODO_AIRE_ZONA_NORTH:System Node Temperature [C](Hourly),NODO_AIRE_ZONA_SOUTH:System Node Temperature [C](Hourly),NODO_DEMAND_INLET_NORTH:System Node Temperature [C](Hourly),NODO_DEMAND_INLET_SOUTH:System Node Temperature [C](Hourly),NODO_DEMAND_OUTLET_NORTH:System Node Temperature [C](Hourly),NODO_DEMAND_OUTLET_SOUTH:System Node Temperature [C](Hourly),NODO_IN_PIPE_OUT_DEMANDA:System Node Temperature [C](Hourly),NODO_OUT_PIPE_IN_DEMANDA:System Node Temperature [C](Hourly),NODO_DEMAND_INLET_EAST:System Node Temperature [C](Hourly),NODO_DEMAND_OUTLET_EAST:System Node Temperature [C](Hourly),NODO_DEMAND_INLET_WEST:System Node Temperature [C](Hourly),NODO_DEMAND_OUTLET_WEST:System Node Temperature [C](Hourly),NODO_AIRE_ZONA_EAST:System Node Temperature [C](Hourly),NODO_AIRE_ZONA_WEST:System Node Temperature [C](Hourly),NODO_AIREEXTERIOR_HP:System Node Temperature [C](Hourly),Heat Pump:Heating:Electricity [J](Hourly) 
 07/21  01:00:00,21.708,86.14112420231295,17.584030761754697,96.44423406490921,21.498443796256854,87.29271983443861,20.225753002461115,100.0,21.38859095604421,87.84274181474944,17.91203539172872,100.0,21.07386465673911,89.59969079655686,0.0,0.0,31.812372960711006,31.812372960711006,0.0,0.0,32.29132509620128,32.29132509620128,0.0,0.0,0.0,0.0,0.0,0.0,32.36292501263668,32.36292501263668,0.0,21.708,29.02313487268952,29.02313487268952,29.02313487268952,29.02313487268952,29.02313487268952,32.805770697726516,32.805770697726516,20.225753002461115,17.91203539172872,32.805770697726516,32.805770697726516,29.277267016581938,29.277267016581938,32.805770697726516,32.805770697726516,32.805770697726516,29.277267016581938,32.805770697726516,29.277267016581938,21.498443796256854,21.07386465673911,21.708,0.0 
 07/21  02:00:00,21.272,88.46732533803886,17.485934191116904,97.04335296340928,21.27710091196014,88.48045665522329,19.895228233340067,100.0,21.056081841338035,89.6528381860407,17.785083100684624,100.0,21.264841707227138,88.54674164013308,0.0,0.0,31.812372960711006,31.812372960711006,8215.08239205994,0.16193624421263964,31.887894255769403,25.81967053797364,0.0,0.0,0.0,0.0,0.0,0.0,32.36292501263668,32.36292501263668,665.9853267251549,14.055715996281538,28.32201528310462,28.32201528310462,28.32201528310462,30.32406429886114,30.32406429886114,32.235061827591196,30.17958585654581,19.895228233340067,17.785083100684624,32.235061827591196,32.235061827591196,24.249108484004875,30.31733220180064,30.17958585654581,32.235061827591196,32.235061827591196,30.31733220180064,32.235061827591196,30.31733220180064,21.27710091196014,21.264841707227138,21.272,2397547.1762105576 
 07/21  03:00:00,20.945,90.25843905933759,17.381000980386382,97.68894379258077,20.812777142077763,91.03579057685648,19.783258754231507,100.0,20.709371354428434,91.58582669219216,17.65441935555117,100.0,21.041277157489844,89.76499178402699,0.0,0.0,31.812372960711006,31.812372960711006,16942.263588496637,0.5480718696705091,27.684706765808254,20.283183346028416,0.0,0.0,0.0,0.0,0.0,0.0,32.36292501263668,32.36292501263668,1500.7733474778788,6.670599626723086,23.71960790320795,23.71960790320795,23.71960790320795,27.72371745612911,27.72371745612911,27.794023077547536,23.630672659736057,19.783258754231507,17.65441935555117,27.794023077547536,27.794023077547536,20.283183346028416,27.684706765808254,23.630672659736057,27.794023077547536,27.794023077547536,27.684706765808254,27.794023077547536,27.684706765808254,20.812777142077763,21.041277157489844,20.945,5402784.050920364 
 07/21  04:00:00,20.618000000000002,92.09049324200221,17.287277357225435,98.26964260211668,20.328007812516567,93.79323416566639,20.05247948071505,100.0,20.37989704534344,93.46614370844952,17.517072852526177,100.0,20.615028796673638,92.14601930780663,0.0,0.0,31.812372960711006,31.812372960711006,6370.48577198326,0.13813250495657264,32.29169242476552,26.775106524696806,0.0,0.0,0.0,0.0,0.0,0.0,32.36292501263668,32.36292501263668,639.6149722562513,13.37698957342736,29.164487342602833,29.164487342602833,29.164487342602833,31.16639787221675,31.16639787221675,32.9759563293276,31.156826707464177,20.05247948071505,17.517072852526177,32.9759563293276,32.9759563293276,25.463177976207692,30.979763876276408,31.156826707464177,32.9759563293276,32.9759563293276,30.979763876276408,32.9759563293276,30.979763876276408,20.328007812516567,20.615028796673638,20.618000000000002,2302613.9001225047 
 07/21  05:00:00,20.4,93.33509383335124,17.20539105626802,98.78017427699675,19.817516461983487,96.79939582067651,20.25423503204307,100.0,20.061055407854568,95.32732057478431,17.38040886669412,100.0,20.162868340341376,94.7503177269665,15615.834487985067,0.44216428697813415,31.694883335618417,23.243093497103334,0.0,0.0,32.29169242476552,32.29169242476552,0.0,0.0,0.0,0.0,0.0,0.0,32.36292501263668,32.36292501263668,1317.6919450383725,5.954011304835529,27.998363431046243,27.998363431046243,27.998363431046243,32.00238913899695,32.00238913899695,32.019741741426934,27.95865666921015,20.25423503204307,17.38040886669412,32.019741741426934,32.019741741426934,31.694883335618417,31.694883335618417,27.95865666921015,32.019741741426934,32.019741741426934,23.243093497103334,32.019741741426934,31.694883335618417,19.817516461983487,20.162868340341376,20.4,4743691.002138141 
 07/21  06:00:00,20.618000000000002,92.09049324200221,17.134561420962513,99.22420859864326,20.52184705471409,92.67175503403256,20.289974603789247,99.99999999999999,19.818395880648268,96.7716322564644,17.27091117686674,99.99999999999999,19.71592246888425,97.40848175419853,4917.324365013526,0.1730337406222509,33.775024279396824,31.508812336129267,0.0,0.0,32.29169242476552,32.29169242476552,0.0,0.0,0.0,0.0,11613.85330261437,0.41720831318148255,31.160700913587274,26.62439673037193,1331.9972796318116,6.185426760830566,27.738511867507246,27.738511867507246,27.738511867507246,31.742597154359466,31.742597154359466,31.784133206632955,27.676143270514284,20.289974603789247,17.27091117686674,31.784133206632955,31.784133206632955,31.63140066917399,31.63140066917399,27.676143270514284,31.784133206632955,31.784133206632955,29.36518872590643,31.784133206632955,27.095096485958646,20.52184705471409,19.71592246888425,20.618000000000002,4795190.206674522 
 07/21  07:00:00,21.381,87.87922694769075,17.080345970703437,99.56554494054078,21.326124486870707,88.1947780961891,20.180561760001723,99.99999999999999,19.650173885169256,97.78723437579299,17.218918076676133,99.99999999999999,20.09969975395893,95.11493119836254,0.0,0.0,33.775024279396824,33.775024279396824,0.0,0.0,32.29169242476552,32.29169242476552,0.0,0.0,0.0,0.0,0.0,0.0,31.078200220355342,31.078200220355342,0.0,21.381,25.434969189737373,25.434969189737373,25.434969189737373,25.434969189737373,25.434969189737373,29.537031960498872,29.537031960498872,20.180561760001723,17.218918076676133,29.537031960498872,29.537031960498872,25.702264352891916,25.702264352891916,29.537031960498872,29.537031960498872,29.537031960498872,25.702264352891916,29.537031960498872,25.702264352891916,21.326124486870707,20.09969975395893,21.381,0.0 
 07/21  08:00:00,23.234,78.52564149562613,17.04806443689231,99.76942583532337,21.63806663317125,86.52388178158415,20.033477255036942,100.0,19.55453343883423,98.36999494457528,17.248088541935154,99.99454563601358,21.045379421911868,89.73015635365572,0.0,0.0,33.775024279396824,33.775024279396824,0.0,0.0,32.29169242476552,32.29169242476552,0.0,0.0,0.0,0.0,0.0,0.0,31.078200220355342,31.078200220355342,0.0,23.234,25.434969189737373,25.434969189737373,25.434969189737373,25.434969189737373,25.434969189737373,29.537031960498872,29.537031960498872,20.033477255036942,17.248088541935154,29.537031960498872,29.537031960498872,25.7105616745901,25.7105616745901,29.537031960498872,29.537031960498872,29.537031960498872,25.7105616745901,29.537031960498872,25.7105616745901,21.63806663317125,21.045379421911868,23.234,0.0 
 07/21  09:00:00,25.305,69.37491821244113,17.131096139005138,99.24607452411763,22.668853079997017,81.26255524113714,20.762024904781576,98.54259599178455,19.601164064578228,98.0853195559028,17.444497048047158,99.1761446838005,21.348747639319885,88.07235368742765,0.0,0.0,33.775024279396824,33.775024279396824,0.0,0.0,32.29169242476552,32.29169242476552,0.0,0.0,0.0,0.0,0.0,0.0,31.078200220355342,31.078200220355342,0.0,25.305,25.434969189737373,25.434969189737373,25.434969189737373,25.434969189737373,25.434969189737373,29.537031960498872,29.537031960498872,20.762024904781576,17.444497048047158,29.537031960498872,29.537031960498872,25.7105616745901,25.7105616745901,29.537031960498872,29.537031960498872,29.537031960498872,25.7105616745901,29.537031960498872,25.7105616745901,22.668853079997017,21.348747639319885,25.305,0.0 
 07/21  10:00:00,27.158,62.19742702272889,17.29330194091037,98.23259988170415,24.07574607392622,74.65401909645118,22.11032985948735,94.07540876342021,19.791157563064964,96.93509891590841,17.815522000997507,97.2916730771831,21.417040119607588,87.7071931463937,0.0,0.0,33.775024279396824,33.775024279396824,0.0,0.0,32.29169242476552,32.29169242476552,0.0,0.0,0.0,0.0,0.0,0.0,31.078200220355345,31.078200220355345,0.0,27.158,25.434969189737373,25.434969189737373,25.434969189737373,25.434969189737373,25.434969189737373,29.537031960498872,29.537031960498872,22.11032985948735,17.815522000997507,29.537031960498872,29.537031960498872,25.77945759259699,25.77945759259699,29.537031960498872,29.537031960498872,29.537031960498872,25.77945759259699,29.537031960498872,25.77945759259699,24.07574607392622,21.417040119607588,27.158,0.0 
